idoeuv,idpartpt,numnom,numnomgp,edtrsubst,partedtr,let,cdecategadsacem,numcatal,numpers,datdbtvld,datfinvld,nomdeclt,prndeclt,nomfid,id,dscrmt,numpartptspeci,ipnamenrforcage,idbranche
250184400,140738540,111546,111546,0,,,E,74128,71419,,,,,,,OSCAR,,,
425656702,218318165,111546,111546,0,,,E,74128,71419,,,,,,,OSCAR,,,
425656702,218318167,,269120,0,,,CA,217500,183792,,,,,,,OSCAR,,,
425656702,218318168,,268885,0,,,CA,87104,183615,,,,,,,OSCAR,,,
512222418,258147256,,7396,0,,,CR,391536,6583,,,,,,,OSCAR,,,
543671921,273999232,1290651,1290651,0,,,CR,835683,827608,,,,,,,OSCAR,,,
599570144,299296007,853121,853121,0,,A,E,564788,568273,,,,,,,OSCAR,,,
599570144,299296008,853517,853517,0,,A,A,558065,561813,,,,,,,OSCAR,,,
599570144,299296009,929239,929239,0,,B,CA,611832,613446,,,,,,,OSCAR,,,
599570144,299296010,1064699,1064699,0,,B,E,691671,694226,,,,,,,OSCAR,,,
599570144,299296011,158015,158015,0,,A,E,207169,99440,,,,,,,OSCAR,,,
665901318,330999961,7396,7396,0,,,CR,391536,6583,,,,,,,OSCAR,,,
704225481,350719976,,1760657,0,,B,E,691671,1108339,,,,,,,OSCAR,,,
704225481,350719977,853517,853517,0,,A,A,558065,561813,,,,,,,OSCAR,,,
704225481,350719978,853121,853121,0,,A,E,564788,568273,,,,,,,OSCAR,,,
704225481,350719979,158015,158015,0,,A,E,207169,99440,,,,,,,OSCAR,,,
704225481,350719980,929239,929239,0,,B,CA,611832,613446,,,,,,,OSCAR,,,
708345693,352594276,1760657,1760657,0,,B,E,691671,1108339,,,,,,,OSCAR,,,
708345693,352594277,853517,853517,0,,A,A,558065,561813,,,,,,,OSCAR,,,
708345693,352594278,853121,853121,0,,A,E,564788,568273,,,,,,,OSCAR,,,
708345693,352594279,158015,158015,0,,A,E,207169,99440,,,,,,,OSCAR,,,
708345693,352594281,929239,929239,0,,B,CA,611832,613446,,,,,,,OSCAR,,,
734677368,367306228,1760657,1760657,0,,B,E,691671,1108339,,,,,,,OSCAR,,,
734677368,367306230,853517,853517,0,,A,A,558065,561813,,,,,,,OSCAR,,,
734677368,367306231,853121,853121,0,,A,E,564788,568273,,,,,,,OSCAR,,,
734677368,367306232,158015,158015,0,,A,E,207169,99440,,,,,,,OSCAR,,,
734677368,367306233,929239,929239,0,,B,CA,611832,613446,,,,,,,OSCAR,,,
751110313,377604010,,269120,0,,,CA,217500,183792,,,,,,,OSCAR,,,
751110313,377604012,,268885,0,,,CA,87104,183615,,,,,,,OSCAR,,,
751110313,377604014,111546,111546,0,,,E,74128,71419,,,,,,,OSCAR,,,
755141254,379740508,1358299,1358299,0,,,CA,878974,866802,,,,,,,OSCAR,,,
755141254,379740509,1665536,1665536,0,,A,E,1073216,1049909,,,,,,,OSCAR,,,
755141254,379740510,1663668,1663668,0,,,CA,1071842,1048700,,,,,,,OSCAR,,,
755141254,379740511,1627574,1627574,0,,A,CA,1047824,1027126,,,,,,,OSCAR,,,
755141254,379740512,1627573,1627573,0,,A,CA,1047823,1027125,,,,,,,OSCAR,,,
779185640,391666532,7391,7391,0,,A,E,326195,6578,,,,,,,OSCAR,,,
779185640,391666533,1358299,1358299,0,,,CA,878974,866802,,,,,,,OSCAR,,,
779185640,391666534,1663668,1663668,0,,,CA,1071842,1048700,,,,,,,OSCAR,,,
779185640,391666535,1627574,1627574,0,,A,CA,1047824,1027126,,,,,,,OSCAR,,,
779185640,391666536,1627573,1627573,0,,A,CA,1047823,1027125,,,,,,,OSCAR,,,
811608015,414421106,,1760657,0,,B,E,691671,1108339,,,,,,,OSCAR,,,3922358
811608015,414421107,853517,853517,0,,A,A,558065,561813,,,,,,,OSCAR,,,3922357
811608015,414421108,853121,853121,0,,A,E,564788,568273,,,,,,,OSCAR,,,3922357
811608015,414421109,158015,158015,0,,A,E,207169,99440,,,,,,,OSCAR,,,3922357
811608015,414421110,929238,929238,0,,B,CA,611832,613446,,,,,,,OSCAR,,,3922358
860602695,439257172,111546,111546,0,,,E,74128,71419,,,,,,,OSCAR,,,
860602695,439257173,,269120,0,,,CA,217500,183792,,,,,,,OSCAR,,,
860602695,439257174,,268885,0,,,CA,87104,183615,,,,,,,OSCAR,,,
930509672,476559224,1358299,1358299,0,,,C,878974,866802,2020-02-03 00:00:00.000000,,,,,,OSCAR,,,
930509672,476559225,1851649,1851649,0,,A,E,1192773,1162385,2020-02-03 00:00:00.000000,,,,,,OSCAR,,,5292179
930509672,476559227,1358299,1358299,0,,,A,878974,866802,2020-02-03 00:00:00.000000,,,,,,OSCAR,,,
930509672,476559229,1627574,1627574,0,,A,C,1047824,1027126,2020-02-03 00:00:00.000000,,,,,,OSCAR,,,5292179
930509672,476559230,1663668,1663668,0,,,A,1071842,1048700,2020-02-03 00:00:00.000000,,,,,,OSCAR,,,
930509672,476559232,1627573,1627573,0,,A,C,1047823,1027125,2020-02-03 00:00:00.000000,,,,,,OSCAR,,,5292179
930509672,476559233,1627574,1627574,0,,A,A,1047824,1027126,2020-02-03 00:00:00.000000,,,,,,OSCAR,,,5292179
930509672,476559234,1663668,1663668,0,,,C,1071842,1048700,2020-02-03 00:00:00.000000,,,,,,OSCAR,,,
930509672,476559235,1627573,1627573,0,,A,A,1047823,1027125,2020-02-03 00:00:00.000000,,,,,,OSCAR,,,5292179
1052453120,523043133,496465,496465,0,,A,E,497675,371698,,,,,,,OSCAR,,,7381182
1052453120,523043134,1195452,1195452,0,,A,E,773276,771711,,,,,,,OSCAR,,,7381182
1052453120,523043135,672573,672573,0,,A,C,251157,468319,,,,,,,OSCAR,,,7381182
1162284897,546751835,959830,959830,0,,B,C,629526,630796,2021-06-10 00:00:00.000000,,,,,,OSCAR,,,893008
1162284897,546751836,433044,433044,0,,A,E,427633,336968,2021-06-10 00:00:00.000000,,,,,,OSCAR,,,893009
1162284897,546751837,959830,959830,0,,B,A,629526,630796,2021-06-10 00:00:00.000000,,,,,,OSCAR,,,893008
1162284897,546751838,993126,993126,0,,A,A,649394,650696,2021-06-10 00:00:00.000000,,,,,,OSCAR,,,893009
1162284897,546751839,1207668,1207668,0,,A,E,780850,778828,2021-06-10 00:00:00.000000,,,,,,OSCAR,,,893009
1162284897,546751840,993126,993126,0,,A,C,649394,650696,2021-06-10 00:00:00.000000,,,,,,OSCAR,,,893009
1162284897,546751842,1025730,1025730,0,,A,A,667100,670864,2021-06-10 00:00:00.000000,,,,,,OSCAR,,,893009
1162284897,546751844,1025730,1025730,0,,A,C,667100,670864,2021-06-10 00:00:00.000000,,,,,,OSCAR,,,893009
